Feature_ID	Taxonomy
AB201645.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__kuishiensis
AB201646.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__kuishiensis
AB201647.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__sematonotos
AB201651.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__sematonotos
AB201653.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__oyamai
AB201656.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__oyamai
AB201659.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__naevius
AB201665.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__stejnegeri
AB201667.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__stejnegeri
AB201669.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__nebulosus
AB211457.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__viridimaculatus
AB211458.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__granulosus
AB211459.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__lifanensis
AB211460.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__cremnobatus
AB211461.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__larutensis
AB211462.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__larutensis
AB211464.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Amolops;s__panhai
AB211467.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Huia;s__sp. N6468
AB211468.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Wijayarana;s__sumatrana
AB211472.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Rana;s__sauteri
AB218896.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Pseudaspius;s__nakamurai
AB218960.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Dactyloidae;g__Anolis;s__cybotes
AB218961.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Plica;s__plica
AB219546.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Milvus;s__lineatus
AB219547.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Buteo;s__japonicus japonicus
AB219548.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Spilornis;s__perplexus
AB219549.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Aquila;s__chrysaetos japonica
AB219550.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Nisaetus;s__nipalensis orientalis
AB219551.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Astur;s__gentilis fujiyamae
AB219552.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Haliaeetus;s__albicilla albicilla
AB219553.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Accipitridae;g__Haliaeetus;s__pelagicus pelagicus
AB219554.1	d__Metazoa;p__Chordata;c__Aves;o__Accipitriformes;f__Pandionidae;g__Pandion;s__haliaetus haliaetus
AB219556.1	d__Metazoa;p__Chordata;c__Aves;o__Falconiformes;f__Falconidae;g__Falco;s__peregrinus japonensis
AB219557.1	d__Metazoa;p__Chordata;c__Aves;o__Falconiformes;f__Falconidae;g__Falco;s__tinnunculus interstinctus
AB219558.1	d__Metazoa;p__Chordata;c__Aves;o__Falconiformes;f__Falconidae;g__Falco;s__columbarius insignis
AB233487.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__punctata
AB233491.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__punctata
AB236129.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__mezina
AB236130.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__mezina
AB236195.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Callionymidae;g__Tonlesapia;s__tsukawakii
AB239570.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Mantella;s__bernhardi
AB239572.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Boophis;s__madagascariensis
AB239573.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Mantidactylus;s__bellyi
AB262420.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__lepidoides
